@name=Vranja jama 2025
@fix=1
//sifon
T1	T2	d	azm	fi	lf	rg	up	dw	lf2	rg2	up2	dw2	info
1	2	8.45	314.2	-13.36									
2	3	2.23	271.2	25.44									
3	4	1.4	325.5	0.41									
4	5	1.19	358.95	2.41									
5	6	2.68	318	32.50									
6	7	3.22	263.5	35.94									
7	8	3.57	203.95	25.20									
8	9	9.01	212.4	35.36									
9	10	5.44	186.4	48.98									
10	11	11.23	230.75	52.50									
11	12	8.04	227.35	44.25									
12	13	5.73	352	47.70									
13	14	3.97	321.4	50.22									
14	15	8.7	206.65	21.93									
15	16	0.79	147.05	22.48									
16	17	6.38	212.2	-11.67									
17	18	5.26	197.8	-15.36									
18	19	5.34	215.3	29.08									
19	20	13.18	144.4	36.60									
20	21	10	90	0									
													
													
													
													
													
													
