# 2025.09.18 [*] created by TopoDroid v 6.3.42
# name: Vranja_jama
# date: 2025.09.16
# team: Burja, Gantar
# declination: undefined
#units: tape meter compass clino degree
# from, to, tape, compass, clino, extend, flags, comment
0@Vranja_jama,-,11.17,205.5,2.5,,,
0@Vranja_jama,-,6.56,287.3,16.4,,,
0@Vranja_jama,-,8.43,133.1,7.8,,,
0@Vranja_jama,-,4.79,340.8,17.7,,,
0@Vranja_jama,-,19.21,216.8,49.3,,,
0@Vranja_jama,-,27.45,223.1,72.8,,,
0@Vranja_jama,-,31.45,180.2,85.5,,,
0@Vranja_jama,-,32.26,143.9,86.8,,,
0@Vranja_jama,-,19.09,135.2,55.2,,,
0@Vranja_jama,-,19.24,82.4,53.3,,,
0@Vranja_jama,1@Vranja_jama,13.10,102.4,-1.6,-1,,
1@Vranja_jama,-,3.18,262.6,-1.8,,,
1@Vranja_jama,-,1.52,245.0,-1.2,,,
1@Vranja_jama,-,2.95,295.5,63.7,,,
1@Vranja_jama,-,1.24,310.2,-3.3,,,
1@Vranja_jama,-,1.68,340.3,1.4,,,
1@Vranja_jama,-,4.19,1.4,-0.5,,,
1@Vranja_jama,-,1.37,18.6,-1.0,,,
1@Vranja_jama,2@Vranja_jama,4.27,18.5,0.7,-1,,
2@Vranja_jama,-,1.18,150.1,1.8,,,
2@Vranja_jama,-,1.99,182.9,-0.4,,,
2@Vranja_jama,-,2.56,229.5,-6.3,,,
2@Vranja_jama,-,2.13,226.4,-1.3,,,
2@Vranja_jama,-,1.58,256.0,-4.5,,,
2@Vranja_jama,-,5.06,196.4,79.1,,,
2@Vranja_jama,-,2.45,100.4,2.0,,,
2@Vranja_jama,-,2.49,122.6,-1.6,,,
2@Vranja_jama,-,7.39,137.1,-0.6,,,
2@Vranja_jama,3@Vranja_jama,2.83,138.4,0.1,-1,,
3@Vranja_jama,-,2.76,253.4,3.0,,,
3@Vranja_jama,-,2.55,278.4,1.9,,,
3@Vranja_jama,-,3.47,300.9,1.5,,,
3@Vranja_jama,-,2.43,331.3,2.0,,,
3@Vranja_jama,-,4.78,24.4,0.1,,,
3@Vranja_jama,-,4.90,62.5,4.1,,,
3@Vranja_jama,-,8.25,78.2,1.3,,,
3@Vranja_jama,-,10.17,94.1,1.1,,,
3@Vranja_jama,-,12.80,106.3,0.8,,,
3@Vranja_jama,-,17.33,114.7,0.9,,,
3@Vranja_jama,-,17.62,118.9,3.0,,,
3@Vranja_jama,-,8.43,80.5,0.3,,,
3@Vranja_jama,5@Vranja_jama,8.46,81.3,0.2,-1,,
5@Vranja_jama,-,7.65,252.8,-0.9,,,
5@Vranja_jama,-,6.88,232.2,1.9,,,
5@Vranja_jama,-,6.20,211.0,1.4,,,
5@Vranja_jama,-,7.27,191.1,1.1,,,
5@Vranja_jama,-,28.89,264.3,77.4,,,
5@Vranja_jama,-,26.95,268.5,76.8,,,
5@Vranja_jama,-,28.92,265.5,77.0,,,
5@Vranja_jama,-,18.65,284.3,56.9,,,
5@Vranja_jama,-,21.03,335.0,79.7,,,
5@Vranja_jama,-,17.60,143.8,34.5,,,
5@Vranja_jama,-,16.03,164.9,2.1,,,
5@Vranja_jama,-,16.45,162.7,2.6,,,
5@Vranja_jama,6@Vranja_jama,5.33,231.2,-1.2,-1,,
6@Vranja_jama,-,25.66,267.0,85.0,,,
